eff_dt,merchant_nm,cust_no
8/19/2017,CINEMAX,1993012
8/19/2017,CINEMAX,2024161.6
8/7/2017,CINEMAX,331198.6
8/6/2017,CINEMAX,1881698.4
8/19/2017,CINEMAX,1427036.4
8/19/2017,CINEMAX,1427036.4
8/9/2017,CINEMAX,74098.8
8/5/2017,CINEMAX,770498.2
8/29/2017,CINEMAX,93593.2
8/31/2017,CINEMAX,560665.2
8/26/2017,CINEMAX,1661235.8
8/4/2017,CINEMAX,112895
8/19/2017,CINEMAX,1047531.4
8/4/2017,CINEMAX,1656988.4
8/5/2017,CINEMAX,1006476
8/15/2017,CINEMAX,1742418.4
8/5/2017,CINEMAX,58945.8
8/4/2017,CINEMAX,595108.4
8/26/2017,CINEMAX,556511
8/19/2017,CINEMAX,2005822.6
8/20/2017,CINEMAX,1287164
8/14/2017,CINEMAX,1480252.8
8/27/2017,CINEMAX,2259562.4
8/5/2017,CINEMAX,3040523.8
8/19/2017,CINEMAX,1938110.6
8/27/2017,CINEMAX,2259562.4
8/15/2017,CINEMAX,413690.4
8/13/2017,CINEMAX,2221390
8/16/2017,CINEMAX,3766911.6
8/17/2017,CINEMAX,1514911.6
8/14/2017,CINEMAX,1196674.6
8/20/2017,CINEMAX,3112441
8/20/2017,CINEMAX,2185073.6
8/19/2017,CINEMAX,636359.8
8/15/2017,CINEMAX,162182.2
8/8/2017,CINEMAX,818654.8
8/17/2017,CINEMAX,1675055
8/27/2017,CINEMAX,822020.6
8/21/2017,BROWHAUS & STRIP,257361.6
8/19/2017,BROWHAUS & STRIP,984714.6
8/5/2017,BROWHAUS & STRIP,66789.2
8/6/2017,BROWHAUS & STRIP,488748.4
8/6/2017,BROWHAUS & STRIP,488748.4
8/7/2017,BROWHAUS & STRIP,1558756.8
8/20/2017,BROWHAUS & STRIP,2648545.8
8/7/2017,BROWHAUS & STRIP,2155821
8/21/2017,BROWHAUS & STRIP,1980990
8/21/2017,BROWHAUS & STRIP,1980990
8/26/2017,BROWHAUS & STRIP,2457176.2
8/28/2017,BROWHAUS & STRIP,686853.6
8/26/2017,BROWHAUS & STRIP,74144.6
8/26/2017,BROWHAUS & STRIP,3647177.4
8/16/2017,BROWHAUS & STRIP,1567521.8
8/20/2017,BROWHAUS & STRIP,1873744.2
8/21/2017,BROWHAUS & STRIP,71498.6
8/28/2017,BROWHAUS & STRIP,686853.6
8/27/2017,BROWHAUS & STRIP,1956947.2
8/20/2017,BROWHAUS & STRIP,581357.2
8/24/2017,BROWHAUS & STRIP,3602677.8
8/12/2017,BROWHAUS & STRIP,1988125.2
8/7/2017,BROWHAUS & STRIP,1838380
8/21/2017,BROWHAUS & STRIP,1890482.6
8/11/2017,BROWHAUS & STRIP,1926926
8/11/2017,BROWHAUS & STRIP,1558756.8
8/29/2017,BROWHAUS & STRIP,1926926
8/6/2017,BROWHAUS & STRIP,3138556.4
8/31/2017,BROWHAUS & STRIP,2074834
8/13/2017,BROWHAUS & STRIP,2756139.6
8/11/2017,BROWHAUS & STRIP,1729473
8/9/2017,BROWHAUS & STRIP,1334781.2
8/5/2017,BROWHAUS & STRIP,1684977.6
8/24/2017,BROWHAUS & STRIP,1585438.8
8/24/2017,BROWHAUS & STRIP,505661.6
8/9/2017,BROWHAUS & STRIP,154879.8
8/24/2017,BROWHAUS & STRIP,742275
8/5/2017,BROWHAUS & STRIP,1410176.2
8/24/2017,BROWHAUS & STRIP,1929189
8/6/2017,BROWHAUS & STRIP,3138556.4
8/13/2017,BROWHAUS & STRIP,2756139.6
8/10/2017,BROWHAUS & STRIP,2430887.6
8/6/2017,BROWHAUS & STRIP,2460667.2
8/2/2017,BROWHAUS & STRIP,1934110.2
8/3/2017,BROWHAUS & STRIP,1327677
8/3/2017,BROWHAUS & STRIP,2355481.2
8/29/2017,BROWHAUS & STRIP,2346034.8
8/29/2017,BROWHAUS & STRIP,809227.6
8/10/2017,BROWHAUS & STRIP,3370487.8
8/5/2017,BROWHAUS & STRIP,2329854.2
8/10/2017,BROWHAUS & STRIP,1127531.6
8/31/2017,BROWHAUS & STRIP,948355.4
8/13/2017,BROWHAUS & STRIP,1994684.8
8/19/2017,BROWHAUS & STRIP,3501047.6
8/4/2017,BROWHAUS & STRIP,1268698
8/22/2017,BROWHAUS & STRIP,649110.4
8/25/2017,PAPABUBBLE,2820577
8/1/2017,PAPABUBBLE,1283354.6
